final_date,yt_views,sp_streams,trends_interest,spotify_z,youtube_z,trends_z
2019-07-01,450000.0,0.0,1.0,-0.21774130170462355,-0.41909971756140635,-0.15909224815443915
2019-08-01,480000.0,0.0,1.0,-0.21774130170462355,-0.41186156164637405,-0.15909224815443915
2019-09-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2019-10-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2019-11-01,520000.0,0.0,1.0,-0.21774130170462355,-0.4022106870929977,-0.15909224815443915
2019-12-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2020-01-01,480000.0,0.0,1.0,-0.21774130170462355,-0.41186156164637405,-0.15909224815443915
2020-02-01,470000.0,0.0,1.0,-0.21774130170462355,-0.4142742802847182,-0.15909224815443915
2020-03-01,550000.0,0.0,1.0,-0.21774130170462355,-0.3949725311779654,-0.15909224815443915
2020-04-01,640000.0,0.0,1.0,-0.21774130170462355,-0.3732580634328685,-0.15909224815443915
2020-05-01,590000.0,0.0,1.0,-0.21774130170462355,-0.38532165662458895,-0.15909224815443915
2020-06-01,530000.0,0.0,1.0,-0.21774130170462355,-0.39979796845465354,-0.15909224815443915
2020-07-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2020-08-01,490000.0,0.0,1.0,-0.21774130170462355,-0.40944884300803,-0.15909224815443915
2020-09-01,390000.0,0.0,1.0,-0.21774130170462355,-0.43357602939147094,-0.15909224815443915
2020-10-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2020-11-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2020-12-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2021-01-01,280000.0,0.0,1.0,-0.21774130170462355,-0.46011593441325604,-0.15909224815443915
2021-02-01,230000.0,0.0,1.0,-0.21774130170462355,-0.47217952760497656,-0.15909224815443915
2021-03-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2021-04-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2021-05-01,270000.0,0.0,1.0,-0.21774130170462355,-0.4625286530516001,-0.15909224815443915
2021-06-01,260000.0,0.0,1.0,-0.21774130170462355,-0.46494137168994426,-0.15909224815443915
2021-07-01,290000.0,0.0,1.0,-0.21774130170462355,-0.45770321577491196,-0.15909224815443915
2021-08-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2021-09-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2021-10-01,330000.0,0.0,1.0,-0.21774130170462355,-0.44805234122153553,-0.15909224815443915
2021-11-01,310000.0,0.0,1.0,-0.21774130170462355,-0.45287777849822375,-0.15909224815443915
2021-12-01,350000.0,0.0,1.0,-0.21774130170462355,-0.4432269039448474,-0.15909224815443915
2022-01-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2022-02-01,470000.0,0.0,1.0,-0.21774130170462355,-0.4142742802847182,-0.15909224815443915
2022-03-01,510000.0,0.0,1.0,-0.21774130170462355,-0.40462340573134176,-0.15909224815443915
2022-04-01,470000.0,0.0,1.0,-0.21774130170462355,-0.4142742802847182,-0.15909224815443915
2022-05-01,3500000.0,0.0,14.0,-0.21774130170462355,0.31677946713354393,1.4005333976874397
2022-06-01,32000000.0,219942397.0,100.0,8.719301737766969,7.193027586414227,11.718056900949101
2022-07-01,28000000.0,175171555.0,51.0,6.900102950607337,6.227940131076587,5.839467928160479
2022-08-01,16500000.0,113510157.0,18.0,4.39458070789036,3.4533136969808735,1.8804182117926334
2022-09-01,11200000.0,96544899.0,10.0,3.705221843979553,2.1745728186585005,0.9206485835822462
2022-10-01,8800000.0,47913951.0,5.0,1.7291732000871023,1.5955203454559168,0.32079256595075434
2022-11-01,7200000.0,36880967.0,4.0,1.2808637599485488,1.2094853633208609,0.20082136242445595
2022-12-01,6900000.0,34600403.0,3.0,1.1881963211087807,1.137103804170538,0.08085015889815758
2023-01-01,6200000.0,30597282.0,3.0,1.0255352554970762,0.9682134994864509,0.08085015889815758
2023-02-01,5600000.0,3865683.0,3.0,-0.060664831596162996,0.8234503811858048,0.08085015889815758
2023-03-01,5800000.0,3364308.0,2.0,-0.08103748377706593,0.8717047539526869,-0.03912104462814079
2023-04-01,6900000.0,2686904.0,2.0,-0.10856282125490663,1.137103804170538,-0.03912104462814079
2023-05-01,7400000.0,2675782.0,2.0,-0.10901474773220605,1.257739736087743,-0.03912104462814079
2023-06-01,9100000.0,2766897.0,2.0,-0.10531242072455116,1.6679019046062398,-0.03912104462814079
2023-07-01,6900000.0,1837316.0,2.0,-0.1430846079835408,1.137103804170538,-0.03912104462814079
2023-08-01,7200000.0,2296645.0,2.0,-0.12442043455327012,1.2094853633208609,-0.03912104462814079
2023-09-01,5600000.0,1837316.0,1.0,-0.1430846079835408,0.8234503811858048,-0.15909224815443915
2023-10-01,5200000.0,1837316.0,1.0,-0.1430846079835408,0.7269416356520408,-0.15909224815443915
2023-11-01,4600000.0,2296645.0,2.0,-0.12442043455327012,0.5821785173513949,-0.03912104462814079
2023-12-01,5000000.0,1837316.0,1.0,-0.1430846079835408,0.6786872628851589,-0.15909224815443915
2024-01-01,4900000.0,1837316.0,2.0,-0.1430846079835408,0.6545600765017179,-0.03912104462814079
2024-02-01,4900000.0,2296645.0,1.0,-0.12442043455327012,0.6545600765017179,-0.15909224815443915
2024-03-01,5200000.0,1837316.0,2.0,-0.1430846079835408,0.7269416356520408,-0.03912104462814079
2024-04-01,5300000.0,1837316.0,2.0,-0.1430846079835408,0.7510688220354819,-0.03912104462814079
